File_name	Segment	Dur	F0_min	F0_min_loc	F0_max	F0_max_loc	F0_mgnt	F0_changerate
ZWJ_pon13	t13	0.393	142.76	0.23	173.43	0.83	30.67	130.41
ZWJ_pon13	t13	0.371	146.33	0.27	174.65	0.81	28.32	141.86
ZWJ_pon13	t13	0.373	138.86	0.34	169.72	0.84	30.85	164.50
ZWJ_pu21	t21	0.363	125.41	0.87	172.01	0.07	-46.61	-161.11
ZWJ_pu21	t21	0.326	137.90	0.81	164.23	0.06	-26.33	-106.83
ZWJ_pu21	t21	0.298	124.89	0.91	161.73	0.05	-36.85	-143.29
ZWJ_pu45	t45	0.330	244.63	0.09	445.94	1.00	201.31	671.35
ZWJ_pu45	t45	0.318	281.14	0	398.26	0.92	117.12	401.96
ZWJ_pu45	t45	0.299	259.32	0.13	383.66	0.78	124.34	632.03
ZWJ_si13	t13	0.421	134.41	0.44	165.40	0.81	30.99	198.00
ZWJ_si13	t13	0.378	133.47	0.44	158.38	0.80	24.91	183.02
ZWJ_si13	t13	0.326	132.13	0.23	157.28	0.81	25.15	133.20
ZWJ_si21	t21	0.262	138.27	0.72	164.93	0.07	-26.66	-155.50
ZWJ_si21	t21	0.211	138.73	0.83	159.41	0.12	-20.69	-137.91
ZWJ_si21	t21	0.192	132.31	0.64	155.20	0.08	-22.89	-213.60
ZWJ_si21_2	t21	0.270	132.92	0.82	152.72	0.10	-19.80	-102.66
ZWJ_si21_2	t21	0.243	138.27	0.68	155.24	0.08	-16.97	-117.54
ZWJ_si21_2	t21	0.196	118.14	0.73	147.11	0.09	-28.97	-232.27
ZWJ_si24	t24	0.377	153.91	0.17	207.51	0.90	53.61	195.72
ZWJ_si24	t24	0.315	154.57	0.20	197.23	0.81	42.66	220.94
ZWJ_si24	t24	0.279	155.56	0.31	189.01	0.82	33.45	236.37
ZWJ_si24_2	t24	0.416	147.93	0.26	201.28	0.79	53.34	242.31
ZWJ_si24_2	t24	0.349	146.58	0.14	201.60	0.91	55.02	203.04
ZWJ_si24_2	t24	0.323	147.91	0.28	205.53	0.85	57.62	314.14
ZWJ_si34	t34	0.376	181.91	0.93	193.39	0.75	-11.47	-171.22
ZWJ_si34	t34	0.344	170.07	0.89	183.73	0.49	-13.66	-98.99
ZWJ_si34	t34	0.307	168.98	0.90	186.24	0.53	-17.27	-152.41
ZWJ_si42	t42	0.329	171.42	0.78	217.63	0.25	-46.21	-265.01
ZWJ_si42	t42	0.281	174.05	0.79	211.97	0.43	-37.92	-378.05
ZWJ_si42	t42	0.271	156.23	0.89	215.18	0.36	-58.95	-404.57
ZWJ_si45	t45	0.304	229.27	0.06	320.63	0.80	91.36	407.20
ZWJ_si45	t45	0.301	243.65	0.06	328.56	0.87	84.91	344.55
ZWJ_si45	t45	0.287	240.36	0.05	293.00	0.67	52.65	295.71
ZWJ_thi45	t45	0.322	238.59	0.09	333.28	0.88	94.68	370.38
ZWJ_thi45	t45	0.297	242.33	0.09	301.79	0.85	59.46	264.35
ZWJ_thi45	t45	0.259	235.11	0.09	327.06	1.00	91.96	388.47
ZWJ_ti13	t13	0.449	137.10	0.37	173.65	0.83	36.56	173.73
ZWJ_ti13	t13	0.465	141.83	0.41	158.09	0.85	16.26	79.72
ZWJ_ti13	t13	0.384	140.86	0.27	169.05	0.87	28.18	121.29
ZWJ_ti13_2	t13	0.374	147.60	0.24	209.61	0.80	62.01	298.46
ZWJ_ti13_2	t13	0.377	148.11	0.30	197.98	0.81	49.88	262.87
ZWJ_ti13_2	t13	0.335	150.74	0.33	201.42	0.92	50.69	256.59
ZWJ_ti21	42	0.328	149.91	0.88	223.33	0.03	-73.42	-263.55
ZWJ_ti21	t42	0.270	148.69	0.94	252.02	0	-103.33	-408.41
ZWJ_ti21	t42	0.275	155.46	0.85	237.33	0	-81.87	-349.97
ZWJ_ti21_2	t21	0.318	132.80	0.77	154.12	0.26	-21.32	-132.65
